count,legislator,state,party,gender
1027.0,Sheila Jackson Lee,TX,Democrat,F
797.0,James M. Inhofe,OK,Republican,M
625.0,Harry Reid,NV,Democrat,M
607.0,Barbara A. Mikulski,MD,Democrat,F
511.0,Eddie Bernice Johnson,TX,Democrat,F
509.0,Richard J. Durbin,IL,Democrat,M
438.0,Lamar Alexander,TN,Republican,M
408.0,Dana Rohrabacher,CA,Republican,M
397.0,F. James Sensenbrenner Jr.,WI,Republican,M
340.0,Sheldon Whitehouse,RI,Democrat,M
293.0,Barbara Boxer,CA,Democrat,F
288.0,John McCain,AZ,Republican,M
253.0,Dianne Feinstein,CA,Democrat,F
235.0,Chuck Grassley,IA,Republican,M
227.0,Patrick J. Leahy,VT,Democrat,M
221.0,Michael B. Enzi,WY,Republican,M
220.0,Orrin G. Hatch,UT,Republican,M
207.0,Daniel Lipinski,IL,Democrat,M
202.0,Ken Calvert,CA,Republican,M
202.0,Bennie G. Thompson,MS,Democrat,M
